iter	Passed	Remaining
0	56	56854
1	57	28580
2	57	19151
3	57	14433
4	58	11603
5	58	9716
6	58	8367
7	59	7354
8	59	6570
9	60	5946
10	60	5435
11	60	5017
12	61	4652
13	61	4340
14	61	4067
15	62	3829
16	62	3621
17	62	3435
18	63	3267
19	63	3116
20	63	2979
21	64	2854
22	64	2740
23	64	2636
24	65	2542
25	65	2453
26	65	2371
27	66	2296
28	66	2225
29	66	2159
30	67	2099
31	67	2042
32	67	1988
33	68	1937
34	68	1888
35	68	1842
36	69	1799
37	69	1759
38	69	1719
39	70	1683
40	70	1647
41	70	1614
42	71	1582
43	71	1550
44	71	1522
45	72	1493
46	72	1466
47	72	1442
48	73	1417
49	73	1393
50	73	1371
51	74	1351
52	74	1329
53	74	1309
54	75	1291
55	75	1272
56	75	1254
57	76	1236
58	76	1218
59	76	1201
60	76	1184
61	77	1168
62	77	1153
63	77	1137
64	78	1123
65	78	1109
66	78	1096
67	78	1081
68	79	1067
69	79	1055
70	79	1043
71	80	1031
72	80	1019
73	80	1008
74	80	997
75	81	986
76	81	977
77	81	967
78	82	958
79	82	948
80	82	938
81	83	929
82	83	920
83	83	911
84	83	901
85	84	892
86	84	882
87	84	874
88	84	866
89	84	858
90	85	851
91	85	843
92	85	835
93	85	828
94	86	821
95	86	815
96	86	808
97	87	803
98	87	796
99	87	790
100	88	784
101	88	776
102	88	770
103	88	764
104	89	758
105	89	753
106	89	748
107	89	743
108	90	737
109	90	732
110	90	726
111	91	721
112	91	716
113	91	712
114	91	707
115	92	701
116	92	697
117	92	692
118	92	687
119	93	682
120	93	678
121	93	673
122	93	668
123	94	664
124	94	659
125	94	655
126	94	651
127	94	646
128	95	642
129	95	638
130	95	635
131	96	631
132	96	627
133	96	623
134	96	620
135	97	617
136	97	613
137	97	609
138	97	606
139	98	602
140	98	599
141	98	595
142	98	592
143	99	589
144	99	586
145	99	583
146	99	580
147	100	577
148	100	573
149	100	571
150	101	568
151	101	565
152	101	562
153	101	559
154	102	556
155	102	554
156	102	551
157	103	549
158	103	546
159	103	543
160	103	541
161	104	538
162	104	535
163	104	533
164	104	530
165	105	528
166	105	525
167	105	523
168	105	521
169	106	518
170	106	517
171	106	514
172	107	512
173	107	510
174	107	508
175	108	505
176	108	503
177	108	501
178	109	499
179	109	497
180	109	494
181	109	492
182	109	490
183	110	488
184	110	486
185	110	484
186	111	482
187	111	480
188	111	478
189	111	476
190	112	474
191	112	473
192	112	471
193	112	469
194	113	467
195	113	465
196	113	463
197	113	461
198	114	459
199	114	457
200	114	456
201	115	454
202	115	452
203	115	450
204	115	449
205	116	447
206	116	445
207	116	444
208	116	442
209	117	440
210	117	439
211	117	437
212	118	436
213	118	434
214	118	432
215	118	431
216	119	429
217	119	428
218	119	426
219	119	425
220	120	423
221	120	422
222	120	421
223	121	419
224	121	418
225	121	416
226	122	415
227	122	413
228	122	412
229	122	411
230	123	409
231	123	408
232	123	406
233	123	405
234	124	404
235	124	402
236	124	401
237	125	400
238	125	398
239	125	397
240	125	396
241	126	394
242	126	393
243	126	392
244	126	390
245	127	389
246	127	388
247	127	387
248	127	385
249	128	384
250	128	383
251	128	382
252	128	380
253	129	379
254	129	378
255	129	377
256	130	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	370
262	131	369
263	131	367
264	132	366
265	132	365
266	132	364
267	133	363
268	133	362
269	133	361
270	133	360
271	134	358
272	134	357
273	134	356
274	134	355
275	135	354
276	135	353
277	135	352
278	136	351
279	136	350
280	136	350
281	137	349
282	137	348
283	137	347
284	137	345
285	138	344
286	138	343
287	138	342
288	138	341
289	139	340
290	139	339
291	139	338
292	140	337
293	140	336
294	140	335
295	140	335
296	141	334
297	141	333
298	141	332
299	142	331
300	142	330
301	142	329
302	142	328
303	142	327
304	143	326
305	143	325
306	143	324
307	144	323
308	144	322
309	144	321
310	144	321
311	145	320
312	145	319
313	145	318
314	146	317
315	146	316
316	146	315
317	146	314
318	147	313
319	147	313
320	147	312
321	147	311
322	148	310
323	148	309
324	148	308
325	149	308
326	149	307
327	149	306
328	149	305
329	150	304
330	150	303
331	150	302
332	150	302
333	151	301
334	151	300
335	151	299
336	151	298
337	152	298
338	152	297
339	152	296
340	153	295
341	153	295
342	153	294
343	153	293
344	154	292
345	154	291
346	154	291
347	154	290
348	155	289
349	155	288
350	155	288
351	156	287
352	156	286
353	156	286
354	157	285
355	157	284
356	157	283
357	157	283
358	158	282
359	158	281
360	158	281
361	159	280
362	159	279
363	159	279
364	160	278
365	160	277
366	160	276
367	160	276
368	161	275
369	161	274
370	161	274
371	161	273
372	162	272
373	162	271
374	162	271
375	163	270
376	163	269
377	163	269
378	163	268
379	164	267
380	164	266
381	164	266
382	164	265
383	165	264
384	165	264
385	165	263
386	165	262
387	166	262
388	166	261
389	166	260
390	167	260
391	167	259
392	167	258
393	167	258
394	168	257
395	168	256
396	168	256
397	168	255
398	169	254
399	169	254
400	169	253
401	170	252
402	170	252
403	170	251
404	170	250
405	171	250
406	171	249
407	171	249
408	171	248
409	172	247
410	172	247
411	172	246
412	172	245
