iter	Passed	Remaining
0	58	58502
1	58	29414
2	59	19750
3	59	14913
4	60	12012
5	60	10078
6	61	8694
7	61	7650
8	62	6835
9	62	6178
10	62	5640
11	63	5190
12	63	4810
13	63	4484
14	63	4202
15	64	3958
16	64	3744
17	65	3550
18	65	3377
19	65	3221
20	66	3080
21	66	2950
22	66	2834
23	67	2729
24	67	2632
25	67	2542
26	68	2461
27	68	2383
28	69	2311
29	69	2246
30	69	2182
31	70	2125
32	70	2069
33	71	2019
34	71	1967
35	71	1920
36	72	1875
37	72	1833
38	72	1792
39	73	1752
40	73	1716
41	73	1679
42	74	1648
43	74	1617
44	74	1588
45	75	1558
46	75	1530
47	75	1503
48	76	1477
49	76	1452
50	76	1427
51	76	1403
52	77	1381
53	77	1359
54	77	1338
55	78	1318
56	78	1299
57	78	1279
58	79	1261
59	79	1244
60	79	1227
61	80	1212
62	80	1195
63	80	1181
64	81	1166
65	81	1151
66	81	1137
67	82	1124
68	82	1111
69	82	1098
70	82	1085
71	83	1072
72	83	1061
73	83	1050
74	84	1039
75	84	1029
76	85	1019
77	85	1010
78	85	999
79	86	990
80	86	981
81	86	972
82	86	961
83	87	951
84	87	943
85	87	934
86	88	925
87	88	916
88	88	907
89	88	899
90	89	891
91	89	883
92	89	875
93	90	868
94	90	861
95	90	854
96	90	847
97	91	839
98	91	833
99	91	826
100	92	820
101	92	813
102	92	807
103	92	800
104	93	794
105	93	789
106	93	783
107	94	777
108	94	772
109	94	766
110	95	761
111	95	756
112	95	750
113	96	746
114	96	741
115	96	736
116	96	730
117	97	725
118	97	720
119	97	716
120	97	711
121	98	706
122	98	701
123	98	697
124	99	693
125	99	689
126	99	684
127	99	680
128	100	676
129	100	672
130	100	668
131	101	664
132	101	660
133	101	656
134	101	652
135	102	649
136	102	645
137	102	642
138	103	638
139	103	635
140	103	631
141	103	627
142	104	623
143	104	620
144	104	617
145	104	613
146	105	610
147	105	607
148	105	604
149	105	600
150	106	597
151	106	594
152	106	591
153	107	588
154	107	585
155	107	583
156	108	580
157	108	577
158	108	574
159	108	571
160	109	568
161	109	565
162	109	562
163	109	559
164	110	557
165	110	554
166	110	551
167	110	549
168	111	546
169	111	544
170	111	541
171	111	539
172	112	536
173	112	534
174	112	531
175	113	529
176	113	527
177	113	524
178	113	522
179	114	520
180	114	518
181	114	516
182	115	513
183	115	511
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	118	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	119	482
199	120	480
200	120	478
201	120	476
202	120	474
203	121	472
204	121	470
205	121	468
206	121	467
207	122	465
208	122	463
209	122	461
210	123	459
211	123	458
212	123	456
213	123	455
214	124	453
215	124	452
216	124	450
217	125	449
218	125	447
219	125	445
220	125	443
221	126	442
222	126	440
223	126	439
224	127	437
225	127	436
226	127	434
227	127	433
228	128	431
229	128	429
230	128	428
231	128	426
232	129	425
233	129	423
234	129	422
235	129	420
236	130	419
237	130	417
238	130	416
239	131	414
240	131	413
241	131	412
242	131	411
243	132	410
244	132	408
245	132	407
246	133	406
247	133	404
248	133	403
249	134	402
250	134	400
251	134	399
252	134	398
253	135	397
254	135	395
255	135	395
256	136	393
257	136	392
258	136	391
259	137	389
260	137	388
261	137	387
262	137	386
263	138	385
264	138	384
265	138	383
266	139	382
267	139	380
268	139	379
269	139	378
270	140	377
271	140	375
272	140	374
273	141	373
274	141	372
275	141	371
276	141	370
277	142	369
278	142	368
279	142	366
280	142	365
281	143	364
282	143	363
283	143	362
284	144	361
285	144	360
286	144	359
287	144	358
288	145	357
289	145	356
290	145	355
291	146	354
292	146	353
293	146	351
294	146	351
295	147	350
296	147	349
297	147	348
298	148	347
299	148	346
300	148	345
301	149	344
302	149	343
303	149	342
304	149	341
305	150	340
306	150	339
307	150	338
308	151	337
309	151	336
310	151	336
311	151	335
312	152	334
313	152	333
314	152	332
315	153	331
316	153	330
317	153	329
318	154	329
319	154	328
320	154	327
321	155	326
322	155	325
323	155	324
324	155	323
325	156	322
326	156	321
327	156	321
328	156	320
329	157	319
330	157	318
331	157	317
332	158	316
333	158	315
334	158	314
335	158	313
336	159	313
337	159	312
338	159	311
339	159	310
340	160	309
341	160	308
342	160	307
343	160	307
344	161	306
345	161	305
346	161	304
347	162	303
348	162	303
349	162	302
350	163	301
351	163	300
352	163	299
353	163	298
354	164	298
355	164	297
356	164	296
357	164	295
358	165	295
359	165	294
360	166	293
361	166	293
362	166	292
363	166	291
364	167	290
365	167	289
366	167	289
367	167	288
368	168	287
369	168	286
370	168	286
371	169	285
372	169	284
373	169	284
374	170	283
375	170	282
376	170	281
377	170	281
378	171	280
379	171	279
380	171	278
381	171	278
382	172	277
383	172	276
384	172	275
385	172	275
386	173	274
387	173	273
388	173	272
389	174	272
390	174	271
391	174	270
392	174	270
393	175	269
394	175	268
395	175	267
396	175	267
397	176	266
398	176	265
399	176	265
400	176	264
401	177	263
402	177	262
403	177	262
404	178	261
405	178	261
406	178	260
407	179	259
408	179	259
409	179	258
410	180	259
411	181	258
412	181	257
413	181	256
414	181	256
415	182	255
416	182	254
417	182	254
418	182	253
419	183	252
420	183	252
421	183	251
422	184	251
423	184	250
424	184	249
425	184	249
426	185	248
427	185	247
428	185	247
429	185	246
430	186	245
431	186	244
432	187	245
433	187	244
434	187	243
435	188	243
436	188	242
437	188	242
438	188	241
439	189	240
440	189	240
441	189	239
442	190	239
443	190	238
444	190	237
445	190	237
446	191	236
447	191	236
448	191	235
449	192	234
450	192	234
451	192	233
452	192	232
453	193	232
454	193	231
455	193	231
456	194	230
457	194	230
458	194	229
459	194	228
460	195	228
461	195	227
462	195	227
463	196	226
464	196	226
465	196	225
466	197	225
467	197	224
468	197	223
469	197	223
470	198	222
471	198	221
472	198	221
473	198	220
474	199	220
475	199	219
476	199	219
477	200	218
478	200	218
479	200	217
480	201	216
481	201	216
482	201	215
483	201	215
484	202	214
485	202	214
486	202	213
487	202	212
488	203	212
489	203	211
490	203	211
491	204	210
492	204	210
493	204	209
494	204	208
495	205	208
496	205	207
497	205	207
498	205	206
499	206	206
500	206	205
501	206	205
502	207	204
503	207	204
504	207	203
505	207	202
506	208	202
507	208	201
508	208	201
509	208	200
510	209	200
511	209	199
512	209	199
513	210	198
514	210	198
515	210	197
516	211	197
517	211	196
518	211	196
519	211	195
520	212	195
521	212	194
522	212	194
523	213	193
524	213	193
525	213	192
526	214	192
527	214	191
528	214	191
529	214	190
530	215	190
531	215	189
532	215	189
533	215	188
534	216	187
535	216	187
536	216	186
537	217	186
538	217	185
539	217	185
540	217	184
541	218	184
542	218	183
543	218	183
544	218	182
545	219	182
546	219	181
547	219	181
548	220	180
549	220	180
550	220	179
551	220	179
552	221	178
553	221	178
554	221	177
555	221	177
556	222	176
557	222	176
558	222	175
559	223	175
560	223	174
561	223	174
562	224	173
563	224	173
564	224	172
565	224	172
566	225	171
567	225	171
568	225	170
569	225	170
570	226	169
571	226	169
572	226	169
573	227	168
574	227	168
575	227	167
576	228	167
577	228	166
578	228	166
579	229	165
580	229	165
581	229	165
582	230	164
583	230	164
584	230	163
585	230	163
586	231	162
587	231	162
588	231	161
589	231	161
590	232	160
591	232	160
592	232	159
593	232	159
594	233	158
595	233	158
596	233	157
597	234	157
598	234	156
599	234	156
600	234	155
601	235	155
602	235	154
603	235	154
604	235	154
605	236	153
606	236	153
607	236	152
608	237	152
609	237	151
610	237	151
611	237	150
612	238	150
613	238	149
614	238	149
615	238	148
616	239	148
617	239	148
618	239	147
619	240	147
620	240	146
621	240	146
622	240	145
623	241	145
624	241	144
625	241	144
626	242	144
627	242	143
628	242	143
629	243	142
630	243	142
631	243	141
632	244	141
633	244	141
634	244	140
635	244	140
636	245	139
637	245	139
638	245	138
639	245	138
640	246	137
641	246	137
642	246	137
643	247	136
644	247	136
645	247	135
646	247	135
647	248	134
648	248	134
649	248	133
650	248	133
651	249	132
652	249	132
653	249	132
654	249	131
655	250	131
656	250	130
657	250	130
658	250	129
659	251	129
660	251	129
661	251	128
662	252	128
663	252	127
664	252	127
665	253	126
666	253	126
667	253	126
668	254	125
669	254	125
670	254	124
671	255	124
672	255	124
673	255	123
674	255	123
675	256	122
676	256	122
677	256	121
678	257	121
679	257	121
680	257	120
681	257	120
682	258	119
683	258	119
684	258	118
685	258	118
686	259	118
687	259	117
688	259	117
689	260	116
690	260	116
691	260	116
692	261	115
693	261	115
694	261	114
695	261	114
696	262	113
697	262	113
698	262	113
699	262	112
700	263	112
701	263	111
702	263	111
703	263	110
704	264	110
705	264	110
706	264	109
707	265	109
708	265	108
709	265	108
710	266	108
711	266	107
712	266	107
713	266	106
714	267	106
715	267	106
716	267	105
717	268	105
718	268	104
719	268	104
720	268	104
721	269	103
722	269	103
723	269	102
724	269	102
725	270	101
726	270	101
727	270	101
728	271	100
729	271	100
730	271	99
731	271	99
732	272	99
733	272	98
734	272	98
735	272	97
736	273	97
737	273	97
738	273	96
739	274	96
740	274	95
741	274	95
742	274	95
743	275	94
744	275	94
745	275	93
746	275	93
747	276	93
748	276	92
749	276	92
750	276	91
751	277	91
752	277	91
753	277	90
754	278	90
755	278	89
756	278	89
757	278	89
758	279	88
759	279	88
760	279	87
761	279	87
762	280	87
763	280	86
764	280	86
765	280	85
766	281	85
767	281	85
768	281	84
769	281	84
770	282	83
771	282	83
772	282	83
773	282	82
774	283	82
775	283	81
776	283	81
777	284	81
778	284	80
779	284	80
780	284	79
781	285	79
782	285	79
783	285	78
784	285	78
785	286	77
786	286	77
787	286	77
788	287	76
789	287	76
790	287	76
791	287	75
792	288	75
793	288	74
794	288	74
795	289	74
796	289	73
797	289	73
798	289	72
799	290	72
800	290	72
801	290	71
802	291	71
803	291	71
804	291	70
805	292	70
806	292	69
807	292	69
808	292	69
809	293	68
810	293	68
811	293	68
812	293	67
813	294	67
814	294	66
815	294	66
816	295	66
817	295	65
818	295	65
819	295	64
820	296	64
821	296	64
822	297	63
823	297	63
824	297	63
825	297	62
826	298	62
827	298	61
828	298	61
829	298	61
830	299	60
831	299	60
832	299	60
833	300	59
834	300	59
835	300	58
836	300	58
837	301	58
838	301	57
839	301	57
840	302	57
841	302	56
842	302	56
843	302	55
844	303	55
845	303	55
846	303	54
847	304	54
848	304	54
849	304	53
850	304	53
851	305	53
852	305	52
853	305	52
854	306	51
855	306	51
856	306	51
857	307	50
858	307	50
859	307	50
860	307	49
861	308	49
862	308	48
863	308	48
864	309	48
865	309	47
866	309	47
867	309	47
868	310	46
869	310	46
870	310	46
871	311	45
872	311	45
873	311	44
874	311	44
875	312	44
876	312	43
877	312	43
878	312	43
879	313	42
880	313	42
881	313	41
882	314	41
883	314	41
884	314	40
885	314	40
886	315	40
887	315	39
888	315	39
889	315	39
890	316	38
891	316	38
892	316	37
893	317	37
894	317	37
895	317	36
896	317	36
897	318	36
898	318	35
899	318	35
900	318	35
901	319	34
902	319	34
903	319	33
904	320	33
905	320	33
906	320	32
907	320	32
908	321	32
909	321	31
910	321	31
911	321	31
912	322	30
913	322	30
914	322	29
915	322	29
916	323	29
917	323	28
918	323	28
919	324	28
920	324	27
921	324	27
922	325	27
923	325	26
924	325	26
925	325	26
926	326	25
927	326	25
928	326	24
929	326	24
930	327	24
931	327	23
932	327	23
933	328	23
934	328	22
935	328	22
936	329	22
937	329	21
938	329	21
939	329	21
940	330	20
941	330	20
942	330	19
943	330	19
944	331	19
945	331	18
946	331	18
947	332	18
948	332	17
949	332	17
950	332	17
951	333	16
952	333	16
953	333	16
954	333	15
955	334	15
956	334	15
957	334	14
958	334	14
959	335	13
960	335	13
961	335	13
962	336	12
963	336	12
964	336	12
965	336	11
966	337	11
967	337	11
968	337	10
969	338	10
970	338	10
971	338	9
972	338	9
973	339	9
974	339	8
975	339	8
976	339	8
977	340	7
978	340	7
979	340	6
980	340	6
981	341	6
982	341	5
983	341	5
984	341	5
985	342	4
986	342	4
987	342	4
988	342	3
989	343	3
990	343	3
991	343	2
992	343	2
993	344	2
994	344	1
995	344	1
996	344	1
997	345	0
998	345	0
999	345	0
